"","school","sex","age","address","famsize","Pstatus","Medu","Fedu","Mjob","Fjob","reason","guardian","traveltime","studytime","schoolsup","famsup","activities","nursery","higher","internet","romantic","famrel","freetime","goout","Dalc","Walc","health","failures.Math","paid.Math","absences.Math","G1.Math","G2.Math","G3.Math","failures.Port","paid.Port","absences.Port","G1.Port","G2.Port","G3.Port"
"311","GP","M",18,"U","GT3","T",3,2,"services","other","course","mother",2,1,"no","no","no","yes","no","yes","no",4,4,5,2,4,5,1,"no",0,6,8,8,0,"no",8,7,8,7
"141","GP","F",17,"U","LE3","T",4,2,"teacher","services","reputation","mother",1,4,"no","yes","yes","yes","yes","yes","no",4,2,3,1,1,4,0,"yes",6,14,12,13,0,"no",2,14,15,17
"188","GP","M",15,"U","GT3","T",3,4,"other","other","reputation","father",1,1,"no","no","no","yes","yes","yes","no",3,4,3,1,2,4,0,"no",6,14,13,13,0,"no",2,14,13,14
"86.1","GP","F",16,"U","LE3","T",2,2,"services","services","course","mother",3,2,"no","yes","no","yes","yes","yes","no",4,3,3,2,3,4,0,"yes",2,12,13,13,0,"no",0,14,13,13
"188.1","GP","M",15,"U","GT3","T",3,4,"other","other","reputation","father",1,1,"no","no","no","yes","yes","yes","no",3,4,3,1,2,4,0,"no",6,14,13,13,0,"no",2,14,13,14
"279.1","GP","M",17,"U","GT3","T",2,1,"other","other","home","mother",2,1,"yes","yes","yes","yes","no","yes","no",4,5,1,1,1,3,3,"no",2,8,8,10,3,"no",0,9,9,10
"194","GP","M",15,"U","GT3","T",4,3,"teacher","other","course","mother",2,2,"no","yes","no","yes","yes","yes","no",5,4,3,1,2,3,0,"yes",2,10,10,11,0,"no",0,12,12,13
"11","GP","F",15,"U","GT3","A",4,3,"services","services","reputation","mother",1,2,"no","yes","yes","yes","yes","yes","no",4,3,2,1,1,1,0,"yes",0,14,15,15,0,"no",0,15,14,15
"136.1","GP","F",17,"U","LE3","T",2,2,"services","other","course","mother",2,2,"yes","yes","no","yes","yes","yes","yes",4,4,4,2,3,5,0,"yes",6,12,12,12,0,"no",6,12,12,12
"326","GP","M",18,"U","LE3","T",4,4,"teacher","teacher","home","mother",1,1,"no","yes","no","yes","yes","yes","yes",1,4,2,2,2,1,0,"yes",5,16,15,16,0,"no",0,18,18,17
"346","MS","F",18,"U","GT3","T",1,1,"other","other","course","mother",2,2,"no","no","yes","yes","yes","no","no",1,1,1,1,1,5,1,"no",0,6,5,0,0,"no",6,11,12,9
"343","MS","F",18,"R","GT3","T",4,4,"teacher","at_home","reputation","mother",3,1,"no","yes","yes","yes","yes","yes","yes",4,4,3,2,2,5,0,"yes",7,6,5,6,0,"no",4,7,9,10
"368","MS","M",19,"R","GT3","T",1,1,"other","other","home","other",3,1,"no","yes","no","yes","yes","yes","no",4,4,4,3,3,5,1,"no",4,8,8,8,1,"no",4,8,9,10
"328.1","GP","M",19,"U","GT3","T",3,2,"services","at_home","home","mother",1,1,"no","yes","no","yes","no","yes","yes",4,5,4,1,1,4,3,"no",0,5,0,0,0,"no",6,11,9,11
"326.1","GP","M",18,"U","LE3","T",4,4,"teacher","teacher","home","mother",1,1,"no","yes","no","yes","yes","yes","yes",1,4,2,2,2,1,0,"yes",5,16,15,16,0,"no",0,18,18,17
"311.1","GP","M",18,"U","GT3","T",3,2,"services","other","course","mother",2,1,"no","no","no","yes","no","yes","no",4,4,5,2,4,5,1,"no",0,6,8,8,0,"no",8,7,8,7
"241","GP","M",16,"U","GT3","T",3,4,"other","other","course","father",3,1,"no","yes","yes","no","yes","yes","no",3,4,5,2,4,2,2,"no",0,6,5,0,1,"no",4,9,9,10
"67","GP","F",16,"U","GT3","T",3,4,"at_home","other","course","mother",1,2,"no","yes","no","yes","yes","yes","no",2,4,3,1,2,3,0,"no",12,5,5,5,0,"no",14,12,11,11
"53.1","GP","F",16,"U","GT3","T",2,2,"other","other","home","mother",1,2,"no","no","no","yes","yes","yes","yes",5,4,4,1,1,5,0,"yes",0,8,7,8,0,"no",0,12,11,11
"246","GP","M",16,"U","GT3","T",4,4,"services","services","course","mother",1,1,"no","no","yes","yes","yes","yes","no",5,3,2,1,2,5,0,"no",0,13,12,12,0,"yes",4,14,15,15
"66","GP","F",16,"U","GT3","T",3,3,"other","services","home","mother",1,2,"yes","yes","yes","yes","yes","yes","no",4,3,3,2,4,5,0,"yes",54,11,12,11,0,"no",4,11,11,11
"64","GP","F",16,"U","GT3","T",3,3,"other","other","home","mother",1,3,"no","yes","no","yes","yes","yes","yes",4,3,3,1,3,4,0,"yes",0,7,7,8,0,"no",2,9,11,11
"42.1","GP","F",16,"U","GT3","A",2,1,"other","other","other","mother",1,2,"no","no","yes","yes","yes","yes","yes",5,3,4,1,1,2,0,"yes",8,8,9,10,0,"no",2,12,13,12
"189.1","GP","M",15,"U","GT3","T",3,4,"services","services","home","father",1,1,"yes","no","no","yes","yes","yes","no",5,5,5,3,2,5,0,"no",0,13,13,12,0,"no",2,9,9,9
"28.1","GP","F",15,"U","GT3","T",4,4,"services","teacher","other","father",1,2,"yes","yes","yes","no","yes","yes","no",4,4,4,1,1,3,1,"no",2,7,7,7,0,"no",2,13,12,12
"189.2","GP","M",15,"U","GT3","T",3,4,"services","services","home","father",1,1,"yes","no","no","yes","yes","yes","no",5,5,5,3,2,5,0,"no",0,13,13,12,0,"no",2,9,9,9
"104.4","GP","F",17,"U","GT3","A",2,2,"at_home","at_home","home","father",1,2,"no","yes","no","yes","yes","yes","yes",3,3,1,1,2,4,1,"no",0,9,8,0,0,"no",18,10,12,14
"62","GP","F",16,"U","GT3","T",3,2,"other","other","reputation","mother",1,2,"no","yes","no","yes","yes","yes","no",1,2,2,1,2,1,0,"yes",14,12,13,12,0,"no",8,14,15,16
"149","GP","F",18,"R","LE3","T",1,1,"at_home","other","reputation","mother",2,4,"no","yes","yes","yes","yes","no","no",5,2,2,1,1,3,0,"yes",1,12,12,12,0,"no",2,17,17,18
"354","MS","M",17,"R","GT3","T",4,3,"services","other","home","mother",2,2,"no","yes","yes","no","yes","yes","yes",4,5,5,1,3,2,0,"yes",4,13,11,11,1,"yes",4,10,11,11
"367","MS","M",18,"U","LE3","T",4,4,"teacher","services","other","mother",2,3,"no","no","no","yes","yes","yes","yes",4,2,2,2,2,5,0,"yes",0,13,13,13,0,"no",0,15,16,16
"50","GP","F",16,"U","GT3","T",2,1,"other","other","course","mother",1,2,"no","yes","no","yes","yes","no","yes",4,3,5,1,1,5,0,"yes",2,8,9,10,0,"no",0,13,12,12
"275","GP","M",17,"R","LE3","T",2,1,"at_home","other","course","mother",2,1,"no","no","yes","yes","no","yes","yes",3,3,2,2,2,5,2,"no",0,7,6,0,1,"yes",8,8,8,9
"63","GP","F",16,"U","GT3","T",3,3,"other","other","home","father",1,2,"no","yes","no","yes","yes","no","no",4,3,2,1,2,5,0,"yes",4,6,10,10,0,"no",0,11,13,13
"95","GP","F",17,"R","GT3","T",2,1,"at_home","services","reputation","mother",2,2,"no","yes","yes","yes","yes","yes","no",4,2,5,1,2,5,0,"no",2,6,6,6,0,"no",0,11,10,11
"357","MS","M",17,"U","LE3","T",3,1,"services","services","course","mother",2,1,"no","no","no","no","yes","yes","no",2,4,5,3,4,2,0,"no",3,14,16,16,0,"no",6,10,10,10
"61","GP","F",16,"U","GT3","T",3,1,"services","other","course","mother",1,4,"yes","yes","no","yes","yes","yes","no",4,3,3,1,2,5,0,"yes",4,7,7,6,0,"no",0,10,9,10
"225.1","GP","M",16,"U","GT3","T",0,2,"other","other","other","mother",1,1,"no","no","no","no","yes","yes","no",4,3,2,2,4,5,0,"yes",0,13,15,15,0,"no",0,11,12,11
"50.1","GP","F",16,"U","GT3","T",2,1,"other","other","course","mother",1,2,"no","yes","no","yes","yes","no","yes",4,3,5,1,1,5,0,"yes",2,8,9,10,0,"no",0,13,12,12
"163.1","GP","F",18,"U","GT3","T",4,4,"health","health","reputation","father",1,2,"yes","yes","yes","yes","yes","yes","yes",2,4,4,1,1,4,1,"no",15,9,8,8,1,"no",2,14,12,13
"27","GP","F",15,"U","GT3","T",4,4,"services","services","reputation","father",2,2,"no","no","no","yes","yes","yes","yes",4,4,4,2,3,5,2,"yes",6,7,9,8,0,"no",4,12,11,12
"48","GP","F",16,"U","GT3","T",1,1,"services","services","course","father",4,1,"yes","yes","yes","no","yes","yes","yes",5,5,5,5,5,5,0,"no",6,10,8,11,0,"no",0,10,10,16
"148","GP","F",18,"R","GT3","T",4,4,"teacher","other","reputation","mother",2,2,"no","no","yes","yes","yes","yes","no",4,3,4,2,2,4,0,"yes",8,12,10,11,0,"no",8,10,11,12
"293","GP","M",17,"U","LE3","T",2,2,"other","other","home","father",1,2,"no","no","yes","no","yes","yes","yes",4,4,2,5,5,4,0,"yes",4,14,13,13,0,"no",0,16,16,16
"351","MS","F",18,"U","LE3","T",1,1,"at_home","services","course","father",2,3,"no","no","no","yes","yes","yes","no",5,3,2,1,1,4,0,"no",0,18,16,16,0,"no",0,19,17,18
"262.1","GP","M",16,"U","LE3","T",4,3,"health","other","home","father",1,1,"no","no","yes","yes","yes","yes","no",3,1,3,1,3,5,0,"yes",4,8,10,10,0,"no",6,12,12,12
"151.1","GP","F",18,"U","GT3","T",1,1,"other","other","home","mother",2,2,"yes","no","yes","yes","yes","yes","no",5,4,4,1,1,4,0,"no",4,8,9,10,0,"no",0,12,13,13
"45","GP","F",16,"U","GT3","A",3,3,"other","other","course","other",2,1,"no","yes","yes","no","yes","yes","yes",4,3,2,1,1,5,2,"no",0,4,0,0,0,"no",4,9,9,10
"230","GP","M",16,"U","GT3","T",2,2,"services","other","reputation","father",2,2,"no","no","yes","no","yes","yes","no",4,4,2,1,1,3,1,"yes",12,11,10,10,0,"no",6,12,10,11
"67.1","GP","F",16,"U","GT3","T",3,4,"at_home","other","course","mother",1,2,"no","yes","no","yes","yes","yes","no",2,4,3,1,2,3,0,"no",12,5,5,5,0,"no",14,12,11,11
"266","GP","M",17,"R","GT3","T",1,2,"at_home","other","home","mother",1,2,"no","no","no","yes","yes","no","no",3,1,3,1,5,3,0,"no",4,8,9,10,0,"no",6,9,9,10
"101.1","GP","F",17,"R","LE3","T",3,1,"services","other","reputation","mother",2,4,"no","yes","no","yes","yes","no","no",3,1,2,1,1,3,0,"yes",6,18,18,18,0,"no",0,18,19,19
"341","MS","F",18,"R","GT3","T",2,2,"at_home","other","other","mother",2,3,"no","no","no","yes","yes","no","no",5,3,3,1,3,4,0,"yes",2,10,9,10,0,"no",0,14,17,15
"336","MS","F",17,"R","GT3","T",4,4,"teacher","services","other","father",2,2,"no","yes","yes","yes","yes","yes","no",4,3,3,1,2,5,0,"yes",4,12,13,13,0,"yes",2,12,12,12
"17","GP","F",15,"U","GT3","T",2,1,"services","other","reputation","father",3,3,"no","yes","yes","yes","yes","yes","no",5,2,2,1,1,4,0,"no",4,10,12,12,0,"no",0,10,12,13
"119","GP","F",17,"U","GT3","T",3,1,"services","services","course","father",1,3,"no","yes","no","no","yes","yes","no",3,4,3,2,3,5,0,"no",1,12,14,15,0,"no",0,17,18,17
"28.2","GP","F",15,"U","GT3","T",4,4,"services","teacher","other","father",1,2,"yes","yes","yes","no","yes","yes","no",4,4,4,1,1,3,1,"no",2,7,7,7,0,"no",2,13,12,12
"48.1","GP","F",16,"U","GT3","T",1,1,"services","services","course","father",4,1,"yes","yes","yes","no","yes","yes","yes",5,5,5,5,5,5,0,"no",6,10,8,11,0,"no",0,10,10,16
"205.1","GP","M",15,"U","LE3","A",2,1,"services","other","course","mother",4,1,"no","no","no","yes","yes","yes","no",4,5,5,2,5,5,3,"no",0,8,9,10,0,"no",0,12,11,11
"305","GP","M",18,"U","GT3","T",2,1,"other","other","home","mother",1,2,"no","no","yes","yes","yes","yes","no",5,2,4,1,2,4,0,"no",8,15,14,14,0,"no",2,16,16,16
"257","GP","M",16,"U","LE3","T",2,1,"other","other","course","mother",1,2,"no","no","yes","yes","yes","yes","yes",4,2,3,1,2,5,0,"yes",0,15,15,15,0,"no",0,13,14,16
"2.1","GP","F",15,"R","GT3","T",1,1,"other","other","reputation","mother",1,2,"yes","yes","no","no","yes","yes","yes",3,3,4,2,4,5,2,"no",2,8,6,5,0,"no",2,13,11,11
"339","MS","F",17,"U","LE3","T",4,4,"at_home","at_home","course","mother",1,2,"no","yes","yes","yes","yes","yes","yes",2,3,4,1,1,1,0,"yes",0,16,15,15,0,"no",4,15,14,15
"125","GP","F",17,"U","GT3","T",3,4,"services","other","course","mother",1,3,"no","no","no","yes","yes","yes","no",4,4,5,1,3,5,0,"no",16,16,15,15,0,"no",8,11,13,14
"163.2","GP","F",18,"U","GT3","T",4,4,"health","health","reputation","father",1,2,"yes","yes","yes","yes","yes","yes","yes",2,4,4,1,1,4,1,"no",15,9,8,8,1,"no",2,14,12,13
"335.1","MS","F",17,"R","GT3","T",3,1,"at_home","other","reputation","mother",1,2,"no","yes","yes","no","yes","yes","no",4,5,4,2,3,1,0,"yes",17,10,10,10,0,"no",10,8,9,9
"90.2","GP","F",16,"U","LE3","T",4,3,"teacher","services","course","mother",3,2,"no","yes","yes","yes","yes","yes","no",5,4,3,1,2,1,0,"no",2,16,15,15,0,"no",2,16,15,16
"332","MS","F",17,"R","GT3","T",1,1,"other","services","reputation","mother",3,1,"no","yes","no","yes","yes","yes","yes",5,2,1,1,2,1,1,"yes",0,7,6,0,1,"no",0,8,8,9
"22.1","GP","F",15,"U","GT3","T",4,2,"health","services","home","mother",1,3,"no","yes","yes","yes","yes","yes","yes",3,2,2,1,1,5,0,"yes",2,15,14,15,0,"no",0,14,14,14
"274","GP","M",17,"R","LE3","T",1,2,"other","other","reputation","mother",1,1,"no","no","no","yes","yes","no","no",2,2,2,3,3,5,0,"no",8,16,12,13,3,"no",14,9,8,10
"42.2","GP","F",16,"U","GT3","A",2,1,"other","other","other","mother",1,2,"no","no","yes","yes","yes","yes","yes",5,3,4,1,1,2,0,"yes",8,8,9,10,0,"no",2,12,13,12
"145","GP","F",18,"R","GT3","T",2,1,"other","other","reputation","mother",2,2,"no","yes","no","yes","no","yes","yes",4,3,5,1,2,3,0,"no",0,6,0,0,0,"no",12,8,9,10
"211","GP","M",15,"U","LE3","T",2,2,"services","services","home","mother",2,2,"no","no","yes","yes","yes","yes","no",5,3,3,1,3,4,0,"yes",4,15,15,15,0,"yes",2,13,12,13
"139.2","GP","F",17,"U","LE3","T",3,2,"other","other","reputation","mother",2,2,"no","no","no","yes","yes","yes","no",4,4,4,1,3,1,0,"yes",2,14,15,15,0,"no",2,14,16,15
"143.1","GP","F",18,"R","GT3","A",3,2,"other","services","home","mother",2,2,"no","no","no","no","no","yes","yes",4,1,1,1,1,5,0,"no",75,10,9,9,0,"no",15,12,9,10
"193","GP","M",15,"U","GT3","T",4,2,"teacher","other","home","mother",1,2,"no","yes","no","yes","yes","no","no",4,3,3,2,2,5,0,"yes",2,15,15,14,0,"no",4,11,12,13
"311.2","GP","M",18,"U","GT3","T",3,2,"services","other","course","mother",2,1,"no","no","no","yes","no","yes","no",4,4,5,2,4,5,1,"no",0,6,8,8,0,"no",8,7,8,7
"255.1","GP","M",16,"U","LE3","T",1,1,"services","other","course","mother",1,2,"no","no","no","yes","yes","no","yes",4,4,4,1,3,5,1,"no",0,14,12,12,2,"no",0,10,10,10
"96.1","GP","F",17,"R","GT3","T",2,2,"other","other","reputation","mother",1,1,"no","yes","no","yes","yes","yes","no",5,3,2,1,2,3,0,"no",18,7,6,6,0,"no",21,13,13,13
"98","GP","F",17,"R","GT3","T",3,4,"at_home","services","course","father",1,3,"no","yes","yes","no","yes","yes","no",4,3,4,2,5,5,0,"yes",0,11,11,10,0,"no",2,15,15,17
"132","GP","F",17,"U","GT3","T",4,4,"teacher","services","course","mother",1,3,"no","yes","yes","yes","yes","yes","no",5,4,4,1,3,4,0,"yes",7,10,9,9,0,"no",0,13,12,13
"267.1","GP","M",17,"R","GT3","T",1,3,"other","other","course","father",3,2,"no","yes","yes","yes","yes","yes","no",5,2,4,1,4,5,1,"no",20,9,7,8,1,"no",14,12,11,11
"238","GP","M",16,"U","GT3","T",3,3,"other","services","home","father",2,1,"no","no","yes","yes","yes","yes","no",5,4,2,1,1,5,0,"no",0,13,14,13,0,"no",6,14,14,15
"106.1","GP","F",17,"U","GT3","A",4,3,"services","services","course","mother",1,2,"no","yes","no","yes","yes","yes","yes",5,2,2,1,2,5,0,"yes",23,13,13,13,0,"no",14,15,14,17
"189.3","GP","M",15,"U","GT3","T",3,4,"services","services","home","father",1,1,"yes","no","no","yes","yes","yes","no",5,5,5,3,2,5,0,"no",0,13,13,12,0,"no",2,9,9,9
"307.1","GP","M",18,"U","GT3","T",2,1,"services","services","reputation","mother",1,3,"no","no","yes","yes","yes","yes","no",4,2,4,1,3,2,0,"yes",6,15,14,14,0,"no",0,14,15,15
"215","GP","M",15,"U","LE3","T",4,4,"health","services","course","father",1,1,"no","yes","yes","yes","yes","yes","no",4,3,3,1,3,5,0,"yes",2,14,14,14,0,"no",0,12,13,12
"174","GP","M",15,"R","GT3","T",2,1,"health","services","reputation","mother",1,2,"no","no","yes","yes","yes","yes","yes",5,4,2,1,1,5,0,"no",8,9,9,9,0,"no",4,10,9,10
"263.2","GP","M",16,"U","LE3","T",4,3,"services","other","reputation","mother",1,2,"no","yes","yes","yes","yes","yes","no",5,4,2,1,2,5,0,"yes",10,15,15,15,0,"no",6,12,12,13
"52.1","GP","F",16,"U","GT3","T",2,2,"at_home","other","home","mother",1,2,"yes","no","yes","yes","yes","yes","no",3,1,2,1,1,5,1,"no",6,10,13,13,1,"no",12,8,10,10
"316","GP","M",18,"U","GT3","T",4,4,"other","other","course","mother",1,3,"no","no","yes","yes","yes","yes","no",4,3,3,2,2,3,0,"no",3,9,12,11,0,"no",0,13,14,13
"45.1","GP","F",16,"U","GT3","A",3,3,"other","other","course","other",2,1,"no","yes","yes","no","yes","yes","yes",4,3,2,1,1,5,2,"no",0,4,0,0,0,"no",4,9,9,10
"250","GP","M",16,"U","GT3","T",4,4,"teacher","teacher","course","mother",1,1,"no","yes","no","yes","no","yes","yes",3,3,2,2,1,5,0,"no",0,7,6,0,0,"no",16,9,9,8
"219","GP","M",16,"R","GT3","T",2,2,"at_home","other","course","mother",3,1,"no","no","no","no","yes","no","no",4,2,2,1,2,3,0,"no",2,17,15,15,0,"no",4,12,10,11
"35","GP","F",15,"U","LE3","T",1,1,"at_home","other","other","mother",1,2,"yes","no","no","yes","yes","yes","no",4,3,2,2,3,3,3,"yes",10,7,8,10,0,"no",6,12,13,12
"240","GP","M",16,"U","GT3","T",3,3,"services","other","home","mother",1,2,"no","no","yes","yes","yes","yes","yes",4,2,3,1,2,3,0,"yes",2,12,13,12,0,"no",0,11,12,13
"96.2","GP","F",17,"R","GT3","T",2,2,"other","other","reputation","mother",1,1,"no","yes","no","yes","yes","yes","no",5,3,2,1,2,3,0,"no",18,7,6,6,0,"no",21,13,13,13
"152.1","GP","F",18,"U","GT3","T",2,1,"other","other","course","other",2,3,"no","yes","no","no","yes","yes","yes",4,4,4,1,1,3,0,"yes",0,7,0,0,0,"no",10,12,10,11
"24","GP","F",15,"U","GT3","T",4,3,"services","other","reputation","mother",1,1,"no","no","yes","yes","yes","yes","no",4,5,5,1,3,1,0,"yes",4,16,17,18,0,"no",6,14,13,13
"51.1","GP","F",16,"U","GT3","T",2,1,"other","other","home","mother",1,1,"no","no","no","yes","yes","yes","yes",4,5,2,1,1,5,0,"no",20,13,12,12,0,"no",4,9,10,10
"293.1","GP","M",17,"U","LE3","T",2,2,"other","other","home","father",1,2,"no","no","yes","no","yes","yes","yes",4,4,2,5,5,4,0,"yes",4,14,13,13,0,"no",0,16,16,16
"309","GP","M",18,"U","GT3","T",2,2,"other","services","reputation","father",1,2,"no","no","no","yes","no","yes","no",5,5,4,3,5,2,1,"no",0,7,7,0,0,"no",16,8,7,8
"268","GP","M",17,"R","GT3","T",2,1,"other","other","course","mother",1,1,"no","no","no","no","yes","yes","no",4,4,2,2,4,5,0,"no",0,8,12,12,0,"no",0,12,12,13
"349","MS","F",18,"U","GT3","T",3,3,"services","services","course","father",1,2,"no","yes","no","yes","yes","no","yes",5,3,4,1,1,5,0,"no",0,10,9,9,0,"no",0,10,10,10
"288","GP","M",17,"U","GT3","T",4,4,"services","teacher","home","mother",1,1,"no","no","no","yes","yes","yes","no",5,2,3,1,2,5,0,"no",4,17,15,16,0,"no",4,13,13,14
"163.3","GP","F",18,"U","GT3","T",4,4,"health","health","reputation","father",1,2,"yes","yes","yes","yes","yes","yes","yes",2,4,4,1,1,4,1,"no",15,9,8,8,1,"no",2,14,12,13
"315","GP","M",18,"U","GT3","T",4,3,"teacher","other","course","mother",1,3,"no","yes","no","yes","yes","yes","yes",5,4,5,2,3,5,0,"yes",0,10,10,9,0,"no",0,14,13,14
"266.1","GP","M",17,"R","GT3","T",1,2,"at_home","other","home","mother",1,2,"no","no","no","yes","yes","no","no",3,1,3,1,5,3,0,"no",4,8,9,10,0,"no",6,9,9,10
"6.1","GP","F",15,"R","GT3","T",3,4,"services","health","course","mother",1,3,"yes","yes","yes","yes","yes","yes","no",4,3,2,1,1,5,0,"yes",2,12,12,11,0,"no",2,11,12,12
"25","GP","F",15,"U","GT3","T",4,4,"services","at_home","course","mother",1,3,"no","yes","yes","yes","yes","yes","yes",4,3,3,1,1,5,0,"no",0,11,0,0,0,"no",4,13,14,15
"333","MS","F",17,"R","GT3","T",1,2,"other","other","course","mother",1,1,"no","no","yes","yes","yes","yes","no",3,5,5,1,3,1,0,"no",14,6,5,5,0,"no",4,7,8,9
"52.2","GP","F",16,"U","GT3","T",2,2,"at_home","other","home","mother",1,2,"yes","no","yes","yes","yes","yes","no",3,1,2,1,1,5,1,"no",6,10,13,13,1,"no",12,8,10,10
"326.2","GP","M",18,"U","LE3","T",4,4,"teacher","teacher","home","mother",1,1,"no","yes","no","yes","yes","yes","yes",1,4,2,2,2,1,0,"yes",5,16,15,16,0,"no",0,18,18,17
"170","GP","F",19,"U","GT3","T",0,1,"at_home","other","course","other",1,2,"no","yes","no","no","no","no","no",3,4,2,1,1,5,3,"no",2,7,8,9,2,"no",0,9,10,11
"142.1","GP","F",17,"U","LE3","T",4,3,"health","other","reputation","father",1,2,"no","no","yes","yes","yes","yes","yes",3,2,3,1,2,3,0,"no",14,13,13,14,0,"no",0,14,12,12
"177.1","GP","M",15,"R","GT3","T",4,3,"teacher","at_home","course","mother",1,2,"no","yes","yes","yes","yes","yes","yes",4,5,2,1,1,5,0,"no",0,17,16,16,0,"no",0,13,14,15
"258","GP","M",16,"U","LE3","T",2,2,"other","other","home","mother",1,2,"no","no","no","yes","yes","yes","no",4,4,4,1,1,3,0,"no",0,12,12,11,0,"no",0,13,12,13
"364","MS","M",18,"U","GT3","T",4,4,"teacher","teacher","home","father",1,2,"no","no","yes","no","yes","yes","no",3,2,4,1,4,2,0,"yes",4,15,14,14,0,"no",4,17,18,19
"31","GP","F",15,"U","GT3","T",4,4,"teacher","teacher","course","mother",2,1,"no","no","yes","yes","yes","yes","no",4,3,2,1,1,5,0,"no",0,16,16,15,0,"no",6,13,14,14
"105","GP","F",17,"U","GT3","A",3,3,"health","other","reputation","mother",1,2,"no","yes","no","no","yes","yes","yes",3,3,3,1,3,3,0,"no",6,8,7,9,0,"no",10,12,13,14
"180","GP","M",15,"U","GT3","A",3,4,"services","other","course","mother",1,2,"no","yes","yes","yes","yes","yes","no",5,4,4,1,1,1,0,"yes",0,16,18,18,0,"no",0,16,16,16
"333.1","MS","F",17,"R","GT3","T",1,2,"other","other","course","mother",1,1,"no","no","yes","yes","yes","yes","no",3,5,5,1,3,1,0,"no",14,6,5,5,0,"no",4,7,8,9
"118.1","GP","F",17,"U","GT3","T",2,4,"services","services","reputation","father",1,2,"no","yes","yes","yes","yes","no","no",5,4,2,2,3,5,0,"no",0,16,17,17,0,"no",0,17,18,17
"263.3","GP","M",16,"U","LE3","T",4,3,"services","other","reputation","mother",1,2,"no","yes","yes","yes","yes","yes","no",5,4,2,1,2,5,0,"yes",10,15,15,15,0,"no",6,12,12,13
"76","GP","F",16,"U","GT3","T",4,4,"health","other","home","mother",1,1,"no","yes","no","yes","yes","yes","no",4,4,4,1,2,2,0,"no",4,14,14,14,0,"no",6,17,17,17
"250.1","GP","M",16,"U","GT3","T",4,4,"teacher","teacher","course","mother",1,1,"no","yes","no","yes","no","yes","yes",3,3,2,2,1,5,0,"no",0,7,6,0,0,"no",16,9,9,8
"334","MS","F",17,"R","GT3","T",1,2,"other","services","course","father",2,2,"no","no","no","no","yes","no","no",3,2,2,1,2,3,0,"no",0,12,11,12,0,"no",0,13,13,13
"101.2","GP","F",17,"R","LE3","T",3,1,"services","other","reputation","mother",2,4,"no","yes","no","yes","yes","no","no",3,1,2,1,1,3,0,"yes",6,18,18,18,0,"no",0,18,19,19
"252","GP","M",16,"U","LE3","A",3,4,"services","other","home","mother",1,2,"yes","yes","yes","yes","yes","yes","no",5,3,3,1,1,5,0,"no",4,11,11,11,0,"yes",2,12,12,13
"170.1","GP","F",19,"U","GT3","T",0,1,"at_home","other","course","other",1,2,"no","yes","no","no","no","no","no",3,4,2,1,1,5,3,"no",2,7,8,9,2,"no",0,9,10,11
"54","GP","F",16,"U","GT3","T",2,2,"other","other","home","mother",1,2,"no","yes","no","no","yes","yes","no",5,1,5,1,1,4,0,"yes",0,6,7,0,0,"no",0,12,12,13
"26","GP","F",15,"U","GT3","T",4,4,"services","services","course","mother",1,1,"yes","yes","no","yes","yes","yes","no",3,3,4,2,3,5,0,"yes",0,8,10,11,0,"no",0,13,12,12
"326.3","GP","M",18,"U","LE3","T",4,4,"teacher","teacher","home","mother",1,1,"no","yes","no","yes","yes","yes","yes",1,4,2,2,2,1,0,"yes",5,16,15,16,0,"no",0,18,18,17
"163.4","GP","F",18,"U","GT3","T",4,4,"health","health","reputation","father",1,2,"yes","yes","yes","yes","yes","yes","yes",2,4,4,1,1,4,1,"no",15,9,8,8,1,"no",2,14,12,13
"213","GP","M",15,"U","LE3","T",4,2,"teacher","other","course","mother",1,1,"no","no","no","yes","yes","yes","no",3,5,2,1,1,3,0,"no",10,18,19,19,0,"no",10,18,17,18
"172","GP","F",19,"U","GT3","T",3,3,"other","services","home","other",1,2,"no","yes","yes","yes","yes","yes","no",4,3,5,3,3,5,2,"yes",15,9,9,9,0,"no",16,11,12,12
"277","GP","M",17,"U","GT3","T",1,2,"at_home","services","other","other",2,2,"no","no","yes","no","yes","yes","no",4,4,4,4,5,5,0,"yes",12,7,8,8,0,"no",16,10,11,12
"87.1","GP","F",16,"U","LE3","T",2,4,"other","health","course","father",2,2,"no","yes","yes","yes","yes","yes","yes",4,2,2,1,2,5,0,"yes",2,13,13,13,0,"no",2,14,12,13
"80.1","GP","F",16,"U","LE3","A",3,3,"other","services","home","mother",1,2,"no","yes","no","yes","yes","yes","no",2,3,5,1,4,3,0,"no",12,11,12,11,0,"no",6,13,12,13
"308","GP","M",18,"U","GT3","T",2,2,"other","other","home","mother",2,2,"no","yes","no","yes","yes","yes","no",3,3,3,5,5,4,0,"yes",0,12,13,13,3,"yes",9,10,9,10
"324.1","GP","M",18,"U","LE3","T",3,4,"services","other","home","mother",1,2,"no","no","yes","yes","yes","yes","yes",4,3,3,1,3,5,0,"no",11,16,15,15,0,"no",6,16,16,17
"297","GP","M",17,"U","LE3","T",4,4,"other","teacher","home","father",2,1,"no","no","no","yes","yes","yes","no",4,1,1,2,2,5,0,"yes",0,11,11,10,0,"no",0,12,13,13
"315.1","GP","M",18,"U","GT3","T",4,3,"teacher","other","course","mother",1,3,"no","yes","no","yes","yes","yes","yes",5,4,5,2,3,5,0,"yes",0,10,10,9,0,"no",0,14,13,14
